age,annual_income,credit_score,tenure_months,monthly_charges,total_transactions,contract_type,support_tickets,churn
43,59040.0,678,7,58.32,11,2,3.0,1
31,73847.0,556,4,44.75,10,0,2.0,1
69,85310.0,631,1,49.21,2,2,0.0,0
54,46740.0,651,15,67.04,42,1,0.0,1
52,74416.0,643,40,42.73,73,2,3.0,0
52,54306.0,690,12,100.4,38,2,0.0,0
70,51892.0,622,22,20.0,76,0,4.0,1
62,70905.0,758,22,58.53,41,0,2.0,0
56,66741.0,680,50,67.21,88,0,1.0,0
31,26624.0,679,47,75.15,87,1,0.0,0
22,81577.0,657,17,46.68,62,2,0.0,0
20,79841.0,690,29,87.69,81,0,0.0,1
52,43739.0,737,46,37.12,122,1,1.0,0
59,62124.0,619,14,53.68,24,0,2.0,1
29,63892.0,633,50,77.41,156,2,0.0,0
62,59692.0,658,20,85.8,73,2,2.0,1
63,45094.0,585,50,36.92,178,0,4.0,1
48,42910.0,622,48,117.9,147,0,1.0,1
32,54540.0,646,33,47.05,55,0,1.0,0
31,76109.0,741,55,38.76,97,1,1.0,0
50,64784.0,698,59,75.05,95,0,4.0,1
65,48328.0,693,43,58.03,92,0,3.0,1
21,68890.0,739,15,55.08,27,0,2.0,0
70,20000.0,670,12,76.91,25,0,3.0,1
69,75677.0,707,40,34.45,98,0,4.0,0
54,23685.0,672,54,30.96,208,1,3.0,1
42,48476.0,698,20,53.05,60,0,2.0,1
36,34845.0,639,30,86.56,107,1,1.0,0
45,31695.0,509,38,53.92,124,1,1.0,0
27,75894.0,670,3,96.98,5,0,0.0,1
48,46581.0,779,28,89.02,93,0,1.0,1
45,61237.0,744,56,70.66,122,1,1.0,0
29,55969.0,747,26,71.79,80,2,2.0,0
45,63586.0,766,30,70.64,70,0,2.0,0
53,56382.0,686,13,68.19,51,0,0.0,0
70,31906.0,693,13,57.68,28,0,1.0,1
60,72932.0,636,2,60.0,4,1,2.0,1
26,46112.0,657,37,43.6,141,0,0.0,0
23,26981.0,723,49,20.8,76,0,1.0,0
69,47293.0,764,38,87.08,123,1,1.0,0
64,82013.0,670,2,68.15,6,1,0.0,0
30,70303.0,648,36,65.12,129,0,2.0,1
48,48724.0,680,54,72.97,212,0,2.0,1
55,48713.0,722,26,48.43,102,1,1.0,0
44,49210.0,578,11,44.98,18,0,1.0,1
40,92381.0,519,8,59.33,28,0,4.5,1
55,61874.0,641,44,92.36,137,2,4.0,1
29,62740.0,594,40,41.63,124,0,2.0,1
56,73545.0,644,43,20.0,78,1,0.0,0
28,59298.0,669,22,54.57,68,2,1.0,0
43,50337.0,648,20,87.85,79,0,1.0,1
54,51465.0,781,8,30.35,30,0,2.0,0
68,53711.0,702,29,41.39,75,1,0.0,0
54,54329.0,701,40,70.27,63,2,0.0,0
67,68097.0,723,26,116.4,62,2,3.0,1
55,55935.0,600,30,37.84,106,1,1.0,1
37,68187.0,752,17,37.06,55,0,1.0,0
68,53547.0,674,20,71.77,52,1,0.0,1
58,55969.0,726,52,89.09,85,0,1.0,1
51,20000.0,604,55,52.52,141,0,2.0,0
43,71493.0,571,16,32.57,42,0,0.0,0
42,61236.0,737,46,73.67,175,0,1.0,0
51,72964.0,706,43,77.3,133,1,2.0,1
56,20000.0,616,7,100.57,15,0,1.0,1
31,92590.0,619,16,78.14,45,0,2.0,1
68,52487.0,758,45,81.56,74,0,0.0,0
32,74947.0,596,59,59.76,231,2,2.0,0
42,55969.0,794,47,113.83,112,1,3.0,0
44,66029.0,616,56,57.04,150,0,2.0,0
54,36038.0,724,48,52.76,114,0,3.0,1
60,43772.0,656,27,101.19,86,0,3.0,1
49,89452.0,722,53,35.52,167,2,3.0,1
36,51567.0,641,23,28.05,75,1,2.0,1
68,58913.0,668,24,67.39,52,0,1.0,1
39,70661.0,682,9,64.97,20,1,0.0,1
67,63922.0,609,35,60.44,63,0,0.0,1
44,57707.0,731,51,84.88,160,0,1.0,0
41,61569.0,644,20,46.84,31,0,0.0,1
32,98261.0,663,37,66.28,110,0,2.0,0
38,53962.0,610,42,57.8,154,0,3.0,1
68,58619.0,500,17,47.18,63,0,2.0,1
55,73911.0,666,47,63.76,123,2,2.0,0
31,74899.0,848,31,82.05,82,0,1.0,0
60,76366.0,734,55,107.41,93,2,0.0,0
38,66497.0,678,57,76.59,181,1,1.0,0
31,34425.0,661,8,20.0,28,0,2.0,1
28,84401.0,681,15,64.24,31,0,3.0,1
26,34365.0,718,31,66.0,79,0,1.0,0
47,60447.0,597,53,83.72,190,1,1.0,0
33,41423.0,758,30,68.7,110,0,1.0,0
50,53845.0,730,46,90.06,96,0,1.0,0
71,60917.0,730,20,72.83,57,0,2.0,1
38,60784.0,710,39,96.18,77,1,0.0,0
66,62594.0,681,53,56.23,92,0,3.0,1
35,84046.0,727,55,67.89,207,0,2.0,0
24,63163.0,721,12,81.53,42,0,2.0,1
54,50605.0,655,49,53.56,166,0,1.0,0
31,72353.0,639,17,49.2,27,2,2.0,1
44,76410.0,687,42,52.41,151,0,3.0,1
71,32903.0,788,30,50.02,77,2,1.0,0
40,65753.0,593,29,75.45,68,1,3.0,0
55,67621.0,577,19,28.3,54,1,0.0,0
42,49643.0,691,46,33.88,79,1,3.0,1
35,79762.0,683,11,102.25,37,0,3.0,1
58,52298.0,692,34,50.5,100,0,2.0,0
64,57260.0,697,50,69.0,98,1,1.0,0
61,51884.0,664,7,35.22,13,0,1.0,0
58,55280.0,784,44,66.88,86,1,2.0,0
33,35267.0,567,58,50.62,95,0,1.0,0
50,29079.0,622,34,33.74,100,2,3.0,0
24,83701.0,672,59,91.74,212,1,4.0,0
54,39754.0,564,20,88.65,30,0,3.0,1
42,37154.0,667,50,62.85,81,0,1.0,0
48,20000.0,796,38,84.99,111,1,1.0,0
62,43498.0,681,24,103.07,85,1,1.0,1
30,31184.0,696,10,80.08,23,0,1.0,1
37,84556.0,591,32,74.59,75,2,1.0,0
66,73176.0,636,52,68.98,155,0,1.0,1
31,42613.0,653,15,77.99,32,0,1.0,1
28,95543.0,657,37,57.72,57,2,1.0,0
29,72671.0,769,20,59.47,66,2,4.0,1
63,49153.0,719,3,74.02,9,1,0.0,0
36,20000.0,602,37,55.52,109,2,3.0,0
57,96236.0,697,57,57.68,191,0,1.0,0
26,29987.0,714,40,65.0,127,2,2.0,0
65,25382.0,759,8,88.01,16,0,2.0,1
32,73406.0,790,40,42.35,95,0,1.0,0
59,98915.0,608,44,80.18,79,0,1.0,0
61,79916.0,623,56,80.84,102,0,3.0,0
28,65150.0,591,23,80.72,73,0,1.0,1
69,65705.0,663,40,48.87,145,0,1.0,0
46,70361.0,712,11,31.15,42,0,1.0,1
21,68660.0,749,46,76.19,141,0,0.0,0
24,60061.0,674,8,68.75,15,1,0.0,1
48,56875.0,657,29,85.09,51,0,1.0,1
56,53873.0,690,30,50.99,105,0,2.0,0
57,41428.0,621,56,80.2,165,1,1.0,0
38,49947.0,826,10,86.09,30,2,2.0,0
27,24526.0,567,39,63.09,134,1,1.0,0
67,53229.0,692,28,73.34,91,0,0.0,0
64,37205.0,821,49,72.64,175,1,1.0,1
20,35135.0,680,36,48.57,59,0,3.0,1
41,58238.0,666,13,75.62,43,0,2.0,1
71,80056.0,654,32,97.45,116,0,1.0,1
36,71529.0,667,36,65.44,79,2,2.0,0
26,26730.0,776,37,35.78,114,0,0.0,0
44,37186.0,525,26,51.26,59,0,1.0,1
64,71933.0,787,22,29.41,85,0,0.0,0
23,37315.0,580,4,90.81,6,2,1.0,1
55,50956.0,661,31,80.28,91,1,1.0,0
25,64900.0,649,18,54.97,34,0,2.0,0
50,37569.0,721,38,36.64,124,1,0.0,0
38,56896.0,568,24,48.33,46,0,2.0,1
63,30987.0,712,56,52.23,116,1,0.0,0
58,44175.0,821,23,67.19,62,0,2.0,1
46,60756.0,584,22,66.52,83,2,1.0,1
29,26326.0,693,2,91.83,4,0,1.0,0
45,62928.0,633,31,51.14,57,1,1.0,0
38,54646.0,709,55,34.84,186,0,1.0,0
58,64944.0,681,11,41.86,30,0,0.0,1
22,59030.0,635,28,64.54,105,0,1.0,0
64,79554.0,714,46,50.43,85,0,2.0,1
32,57254.0,806,32,59.16,99,0,0.0,0
69,47270.0,666,5,55.92,10,1,1.0,1
47,57201.0,730,38,84.8,71,0,1.0,1
39,64779.0,589,10,53.26,32,1,1.0,1
47,55879.0,613,40,57.45,119,2,0.0,0
27,55730.0,713,46,79.35,155,1,0.0,1
60,42364.0,783,24,53.7,54,1,0.0,0
58,43067.0,704,35,73.46,91,1,2.0,1
20,29753.0,658,44,71.63,110,0,0.0,1
22,86492.0,679,48,67.84,190,2,3.0,0
32,32610.0,592,23,42.31,51,0,3.0,1
47,42527.0,722,17,89.6,38,1,1.0,1
68,42068.0,741,1,109.41,2,1,1.0,1
44,71108.0,648,55,65.18,160,0,2.0,0
52,49690.0,647,31,44.07,66,0,2.0,1
57,77459.0,698,31,65.58,117,0,3.0,1
25,42877.0,649,42,84.8,90,2,3.0,0
63,60021.0,675,57,52.7,213,2,2.0,0
64,39963.0,826,55,62.42,96,0,3.0,1
51,93612.0,662,42,71.81,131,1,0.0,0
64,33623.0,654,53,89.06,199,2,1.0,0
66,60576.0,634,56,80.51,107,0,0.0,0
40,66407.0,732,34,81.34,133,0,1.0,0
35,62448.0,667,9,56.47,23,1,1.0,0
40,51664.0,634,22,73.04,85,2,2.0,0
30,52663.0,772,13,50.56,41,2,0.0,0
56,55788.0,779,25,81.91,56,0,2.0,1
55,52353.0,637,48,88.02,94,0,1.0,1
54,72349.0,549,18,76.07,40,0,2.0,1
38,94789.0,750,51,57.65,88,0,0.0,1
39,44965.0,632,12,60.93,22,0,0.0,1
37,30343.0,735,40,101.13,70,1,0.0,0
66,53410.0,542,17,57.99,43,0,1.0,1
60,101434.0,742,15,86.0,52,2,1.0,0
68,40533.0,595,42,71.78,77,0,2.0,1
33,84504.0,731,15,58.32,27,1,1.0,0
34,85198.0,680,15,38.11,46,0,1.0,0
50,45035.0,613,55,69.23,109,0,3.0,1
20,65241.0,651,39,66.82,68,0,2.0,0
22,84311.0,728,13,101.13,24,2,1.0,0
35,48175.0,687,17,47.8,64,2,1.0,0
42,51335.0,720,32,110.9,113,0,2.0,1
30,44529.0,818,9,72.58,21,0,0.0,0
31,36734.0,570,40,72.56,125,2,2.0,0
29,43313.0,793,20,53.14,56,0,1.0,0
51,32969.0,687,26,71.29,83,0,2.0,1
35,55613.0,617,27,74.46,86,1,2.0,1
27,41140.0,586,21,83.75,64,2,1.0,1
57,59208.0,666,18,45.43,38,0,2.0,0
31,26993.0,744,13,93.14,20,0,0.0,1
43,60955.0,671,16,72.23,42,2,2.0,1
47,70003.0,785,9,77.16,33,0,0.0,1
27,20000.0,578,12,60.58,35,0,1.0,1
47,61733.0,679,44,46.44,157,1,2.0,0
55,77098.0,592,38,66.45,151,2,4.0,0
45,33226.0,705,19,68.75,36,0,1.0,1
27,85106.0,742,7,37.29,22,2,0.0,0
69,62542.0,650,57,80.87,181,1,0.0,0
47,42309.0,497,35,84.93,138,0,2.0,0
47,53996.0,693,48,50.41,190,2,3.0,0
56,65049.0,710,18,44.55,57,0,1.0,1
60,56368.0,708,16,58.94,33,0,0.0,1
55,64697.0,766,55,65.48,192,1,1.0,0
46,38427.0,605,39,59.72,68,0,0.0,0
36,58048.0,727,4,63.78,13,0,2.0,1
28,29553.0,763,59,69.43,222,0,1.0,1
52,52997.0,555,25,37.63,61,0,1.0,1
39,38729.0,702,32,39.93,98,2,2.0,0
32,41760.0,644,40,20.0,103,1,1.0,0
47,77249.0,674,13,83.85,33,2,3.0,1
67,74643.0,704,45,65.3,102,0,2.0,0
48,65964.0,645,17,85.96,57,0,1.0,1
32,35338.0,632,49,42.25,188,0,3.0,0
65,49304.0,682,37,65.49,142,0,0.0,0
54,76835.0,603,6,69.3,11,0,2.0,1
25,57550.0,603,19,53.76,70,1,2.0,1
37,96747.0,727,13,33.93,43,2,0.0,0
70,62079.0,599,57,99.92,121,2,0.0,0
24,58456.0,726,26,92.99,43,0,2.0,1
66,49435.0,712,14,57.36,30,2,3.0,0
44,57403.0,559,31,75.2,117,0,2.0,0
21,52255.0,632,54,55.3,166,0,2.0,0
29,67745.0,763,4,45.09,13,2,0.0,0
49,72220.0,611,39,101.55,83,1,1.0,1
69,40852.0,647,8,31.89,26,0,1.0,1
64,31037.0,712,25,59.29,39,0,0.0,1
24,21948.0,734,13,66.69,31,0,1.0,1
52,64143.0,662,32,98.02,98,1,0.0,0
20,35139.0,638,59,82.93,110,0,2.0,1
37,20000.0,779,38,31.56,135,2,2.0,0
51,61994.0,801,38,64.94,79,0,2.0,0
66,99873.0,748,56,65.42,175,0,0.0,0
68,54890.0,685,28,60.43,70,0,2.0,1
30,70092.0,623,53,77.4,158,0,1.0,1
40,56472.0,621,30,36.82,53,0,0.0,0
45,53219.0,716,3,56.83,4,1,1.0,1
44,71543.0,709,28,74.58,105,2,0.0,0
41,49775.0,778,3,78.59,6,2,4.0,1
46,59813.0,725,45,67.99,159,2,3.0,1
68,60790.0,574,54,59.23,215,2,4.5,1
32,42974.0,753,34,62.6,68,1,0.0,0
52,72856.0,610,16,79.81,34,2,2.0,1
53,51850.0,653,22,65.68,69,0,2.0,1
60,41396.0,697,32,44.16,125,0,0.0,0
54,64657.0,819,38,40.33,144,0,2.0,0
20,38827.0,850,8,35.21,22,0,2.0,1
40,55507.0,722,55,94.11,191,0,0.0,1
67,54835.0,667,8,81.15,14,2,2.0,1
25,74546.0,717,57,62.87,224,0,0.0,0
47,63544.0,742,6,55.92,23,0,3.0,1
36,54549.0,657,14,53.52,26,0,2.0,1
24,69719.0,805,32,86.86,71,0,1.0,1
50,80023.0,696,35,103.09,61,0,3.0,1
24,65040.0,714,10,52.89,21,0,2.0,1
57,55186.0,726,3,87.77,10,0,1.0,1
22,31386.0,709,59,65.56,144,0,1.0,0
42,35827.0,738,12,60.75,20,1,1.0,0
56,49505.0,636,49,95.08,115,1,1.0,1
56,44028.0,640,59,64.8,233,0,3.0,1
29,51634.0,602,31,70.93,95,0,2.0,1
29,56019.0,710,29,69.97,73,0,2.0,0
38,64534.0,734,5,32.49,9,1,2.0,0
36,53731.0,712,52,70.77,206,0,0.0,1
40,63757.0,797,25,53.75,88,0,1.0,1
33,56160.0,679,41,36.58,90,1,0.0,0
28,20000.0,726,31,54.66,51,0,2.0,1
65,38091.0,603,21,54.49,34,0,2.0,0
20,52406.0,652,58,85.6,104,0,3.0,1
70,33225.0,728,20,43.72,59,2,0.0,0
64,65798.0,739,39,49.2,149,2,3.0,0
32,82553.0,659,22,69.71,60,1,1.0,0
23,76937.0,674,4,38.48,14,0,0.0,1
20,51158.0,573,13,51.82,33,0,1.0,0
68,81833.0,655,45,31.71,147,2,1.0,0
59,57676.0,742,42,83.4,139,2,0.0,0
51,48932.0,720,50,58.97,96,0,1.0,1
53,43958.0,715,49,64.68,117,2,4.0,0
47,49555.0,683,20,83.32,61,0,1.0,1
50,48012.0,680,52,50.55,87,0,1.0,0
27,58067.0,633,13,58.76,31,1,2.0,0
58,57890.0,728,17,43.87,48,0,1.0,1
45,55054.0,709,54,43.83,215,2,0.0,0
53,62864.0,714,36,46.59,96,0,1.0,0
22,76431.0,643,33,55.15,116,0,0.0,1
69,72091.0,529,1,57.3,2,2,1.0,0
31,28271.0,756,15,70.77,52,2,1.0,1
20,20000.0,646,13,47.18,38,0,2.0,1
63,71817.0,619,17,71.39,63,0,1.0,1
24,30396.0,728,24,74.7,60,1,1.0,0
49,50954.0,652,58,55.64,174,0,2.0,1
49,33937.0,754,8,48.91,24,2,2.0,0
36,22564.0,723,50,66.7,127,2,2.0,0
67,64746.0,727,27,60.94,50,0,2.0,0
66,68664.0,584,45,69.41,78,0,0.0,1
42,44622.0,764,23,96.4,35,0,2.0,1
34,20000.0,698,46,66.37,169,2,1.0,0
56,45167.0,654,8,52.22,16,0,2.0,1
40,62052.0,690,8,47.18,16,0,3.0,0
33,28379.0,555,59,47.96,197,0,1.0,0
21,58300.0,708,26,35.74,59,1,2.0,1
30,54724.0,607,47,83.65,129,0,0.0,0
70,65427.0,585,59,20.33,112,0,0.0,0
58,57152.0,573,13,74.76,50,2,4.0,1
57,37484.0,757,39,47.64,141,2,1.0,0
53,76538.0,635,37,54.75,135,1,1.0,0
57,52146.0,787,49,47.04,123,0,0.0,0
69,54508.0,642,28,93.92,95,0,3.0,0
53,38201.0,560,25,65.33,46,1,2.0,1
37,47020.0,601,16,80.81,24,0,2.0,1
49,39073.0,766,55,91.01,85,2,1.0,0
34,51886.0,669,2,68.27,5,1,2.0,1
46,85810.0,641,54,41.09,142,0,0.0,0
70,30305.0,691,18,60.59,50,2,2.0,1
53,25955.0,715,17,50.16,25,2,2.0,0
71,81481.0,758,30,54.93,76,0,2.0,0
57,51232.0,781,39,63.11,128,0,2.0,1
52,42956.0,654,13,62.32,33,0,2.0,0
43,73718.0,587,32,73.24,106,0,2.0,0
34,44098.0,651,50,76.15,104,0,0.0,1
49,87868.0,698,29,62.32,102,1,1.0,1
61,67202.0,612,46,73.07,136,2,1.0,0
70,46217.0,612,30,54.01,60,0,3.0,1
36,93831.0,704,18,91.3,37,0,1.0,1
24,44097.0,676,13,53.69,39,1,4.5,1
48,68357.0,682,43,88.94,153,0,3.0,1
23,60387.0,626,21,35.48,53,2,3.0,1
29,78431.0,663,30,57.39,64,0,2.0,1
36,83107.0,615,21,58.38,77,0,1.0,0
29,55576.0,742,48,70.58,152,0,3.0,1
36,41438.0,752,55,82.24,144,1,2.0,0
39,63279.0,550,17,40.01,46,0,0.0,0
43,42801.0,614,40,42.84,80,1,3.0,1
24,91240.0,575,19,36.96,58,0,1.0,1
53,57457.0,634,52,91.4,124,0,1.0,0
25,48424.0,674,15,70.95,59,0,2.0,0
21,58324.0,578,9,43.31,24,2,1.0,0
32,30751.0,615,52,56.14,141,2,0.0,0
62,37510.0,609,10,88.64,29,0,3.0,0
62,76607.0,694,44,59.44,166,0,3.0,1
67,43175.0,684,31,58.26,108,0,3.0,1
30,36155.0,629,53,49.37,139,0,1.0,0
70,64659.0,692,23,44.5,75,0,2.0,1
66,76342.0,641,52,88.67,154,2,0.0,0
42,67941.0,660,30,98.48,81,2,1.0,0
35,72928.0,797,33,45.3,65,0,1.0,0
50,41377.0,773,57,93.1,151,0,1.0,1
30,29407.0,589,52,55.25,109,2,1.0,0
35,82024.0,738,9,75.67,34,2,0.0,1
27,49191.0,736,54,93.2,126,0,4.0,1
23,50485.0,599,47,62.1,182,0,3.0,1
59,78907.0,737,1,58.44,2,0,3.0,1
23,65012.0,787,44,81.02,135,0,4.5,1
44,63205.0,601,35,42.8,100,0,3.0,0
22,93970.0,615,11,87.94,20,0,3.0,1
51,43416.0,751,34,67.86,82,1,2.0,0
22,71701.0,699,16,53.44,27,0,1.0,1
46,56026.0,718,9,52.92,27,0,1.0,0
48,59834.0,703,32,37.33,83,0,2.0,1
51,82512.0,707,15,54.28,51,2,0.0,0
69,64141.0,587,12,59.72,24,2,2.0,1
70,64689.0,753,33,43.77,63,0,4.0,1
38,74305.0,761,45,64.09,113,0,2.0,1
40,48430.0,663,14,74.46,53,2,3.0,1
24,39894.0,676,57,60.73,186,0,0.0,0
37,36193.0,572,57,78.25,145,0,0.0,0
47,20000.0,715,8,48.86,22,0,2.0,1
61,92011.0,720,8,85.07,13,0,3.0,1
41,35142.0,675,27,67.44,106,0,2.0,1
40,51017.0,758,12,95.91,37,2,0.0,1
25,50017.0,656,1,113.28,2,1,1.0,1
20,60533.0,719,43,55.6,127,0,1.0,1
24,69683.0,608,40,56.42,70,2,2.0,0
60,70488.0,678,42,60.08,164,0,1.0,0
31,44504.0,667,51,76.91,98,0,1.0,0
45,51991.0,695,11,91.52,34,1,2.0,1
65,55969.0,654,39,51.94,82,1,2.0,0
53,50523.0,670,43,72.62,141,0,1.0,1
68,83932.0,737,31,62.28,106,0,0.0,0
33,63837.0,649,17,77.36,54,1,1.0,0
45,68227.0,567,33,95.19,100,1,2.0,1
64,66931.0,802,32,60.19,119,0,2.0,0
46,76122.0,776,58,31.6,98,0,1.0,0
28,58258.0,589,29,79.88,67,0,0.0,1
45,31657.0,728,21,48.35,44,0,3.0,1
66,62194.0,644,21,62.14,83,0,4.0,1
41,43275.0,698,40,80.74,98,2,0.0,0
66,45484.0,700,23,70.95,76,0,2.0,1
49,65554.0,663,56,62.97,179,0,4.5,1
62,77289.0,625,6,53.48,12,1,1.0,1
67,55382.0,631,22,20.0,46,0,3.0,1
36,60558.0,615,50,78.97,110,0,1.0,0
45,85639.0,621,38,59.94,96,2,0.0,0
55,59333.0,675,37,95.27,77,2,1.0,1
20,101830.0,629,45,72.96,69,1,2.0,0
27,65179.0,727,51,54.18,188,0,1.0,0
68,23306.0,784,54,86.34,211,1,2.0,0
54,68560.0,639,8,88.02,18,1,1.0,0
71,61860.0,696,41,60.62,96,0,3.0,0
34,78215.0,714,49,88.87,74,0,2.0,1
66,67117.0,713,35,53.89,112,2,2.0,0
41,52507.0,685,51,68.19,181,0,3.0,0
33,32962.0,731,11,76.43,20,1,0.0,1
45,51237.0,713,24,80.7,45,0,2.0,1
47,39690.0,593,49,77.43,170,0,2.0,1
42,44550.0,740,21,58.35,63,0,2.0,1
33,65594.0,742,51,86.87,82,2,4.5,0
43,85058.0,626,2,62.51,6,0,2.0,1
21,62104.0,682,40,53.62,90,0,0.0,0
64,33474.0,727,19,53.91,46,1,2.0,0
45,63002.0,665,39,103.8,133,1,4.0,1
33,76539.0,755,28,50.16,98,2,0.0,0
70,44023.0,845,59,90.83,147,0,1.0,0
26,52587.0,624,17,42.29,65,0,3.0,1
22,55264.0,583,6,74.76,15,2,1.0,0
66,40871.0,701,19,70.94,65,1,0.0,0
42,66669.0,730,56,97.42,151,0,1.0,0
65,52822.0,663,38,51.91,142,0,1.0,1
62,62551.0,781,28,46.39,105,2,2.0,0
66,39025.0,586,2,62.67,3,0,0.0,0
64,47125.0,728,38,98.3,145,1,1.0,1
37,68002.0,637,55,47.32,196,0,1.0,1
57,48289.0,800,37,20.0,128,0,2.0,0
